parcellation_label,parcellation_term_label,parcellation_term_set_label,parcellation_index,voxel_count,volume_mm3,color_hex_triplet,red,green,blue,parcellation_term_name,parcellation_term_acronym,parcellation_term_set_name,term_set_order,term_order,parent_term_label
AllenCCF-Annotation-2020-694,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,684,594928,0.5949280000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-694,AllenCCF-Ontology-2017-119,AllenCCF-Ontology-2017-STRU,684,594928,0.5949280000000001,#219866,33,152,102,"Agranular insular area, ventral part",AIv,structure,3,35,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-694,AllenCCF-Ontology-2017-694,AllenCCF-Ontology-2017-SUBS,684,594928,0.5949280000000001,#219866,33,152,102,"Agranular insular area, ventral part, layer 2/3",AIv2/3,substructure,4,199,AllenCCF-Ontology-2017-119
AllenCCF-Annotation-2020-800,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,790,720432,0.7204320000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-800,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,790,720432,0.7204320000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-800,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,790,720432,0.7204320000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-800,AllenCCF-Ontology-2017-119,AllenCCF-Ontology-2017-STRU,790,720432,0.7204320000000001,#219866,33,152,102,"Agranular insular area, ventral part",AIv,structure,3,35,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-800,AllenCCF-Ontology-2017-800,AllenCCF-Ontology-2017-SUBS,790,720432,0.7204320000000001,#219866,33,152,102,"Agranular insular area, ventral part, layer 5",AIv5,substructure,4,200,AllenCCF-Ontology-2017-119
AllenCCF-Annotation-2020-675,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,665,167928,0.16792800000000002,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-675,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,665,167928,0.16792800000000002,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-675,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,665,167928,0.16792800000000002,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-675,AllenCCF-Ontology-2017-119,AllenCCF-Ontology-2017-STRU,665,167928,0.16792800000000002,#219866,33,152,102,"Agranular insular area, ventral part",AIv,structure,3,35,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-675,AllenCCF-Ontology-2017-675,AllenCCF-Ontology-2017-SUBS,665,167928,0.16792800000000002,#219866,33,152,102,"Agranular insular area, ventral part, layer 6a",AIv6a,substructure,4,201,AllenCCF-Ontology-2017-119
AllenCCF-Annotation-2020-699,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,689,3060,0.0030600000000000007,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-699,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,689,3060,0.0030600000000000007,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-699,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,689,3060,0.0030600000000000007,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-699,AllenCCF-Ontology-2017-119,AllenCCF-Ontology-2017-STRU,689,3060,0.0030600000000000007,#219866,33,152,102,"Agranular insular area, ventral part",AIv,structure,3,35,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-699,AllenCCF-Ontology-2017-699,AllenCCF-Ontology-2017-SUBS,689,3060,0.0030600000000000007,#219866,33,152,102,"Agranular insular area, ventral part, layer 6b",AIv6b,substructure,4,202,AllenCCF-Ontology-2017-119
AllenCCF-Annotation-2020-671,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,661,507296,0.5072960000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-671,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,661,507296,0.5072960000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-671,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,661,507296,0.5072960000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-671,AllenCCF-Ontology-2017-894,AllenCCF-Ontology-2017-STRU,661,507296,0.5072960000000001,#1AA698,26,166,152,"Retrosplenial area, lateral agranular part",RSPagl,structure,3,36,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-671,AllenCCF-Ontology-2017-671,AllenCCF-Ontology-2017-SUBS,661,507296,0.5072960000000001,#1AA698,26,166,152,"Retrosplenial area, lateral agranular part, layer 1",RSPagl1,substructure,4,203,AllenCCF-Ontology-2017-894
AllenCCF-Annotation-2020-965,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,955,669946,0.6699460000000002,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-965,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,955,669946,0.6699460000000002,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-965,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,955,669946,0.6699460000000002,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-965,AllenCCF-Ontology-2017-894,AllenCCF-Ontology-2017-STRU,955,669946,0.6699460000000002,#1AA698,26,166,152,"Retrosplenial area, lateral agranular part",RSPagl,structure,3,36,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-965,AllenCCF-Ontology-2017-965,AllenCCF-Ontology-2017-SUBS,955,669946,0.6699460000000002,#1AA698,26,166,152,"Retrosplenial area, lateral agranular part, layer 2/3",RSPagl2/3,substructure,4,204,AllenCCF-Ontology-2017-894
AllenCCF-Annotation-2020-774,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,764,733242,0.7332420000000002,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-774,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,764,733242,0.7332420000000002,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-774,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,764,733242,0.7332420000000002,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-774,AllenCCF-Ontology-2017-894,AllenCCF-Ontology-2017-STRU,764,733242,0.7332420000000002,#1AA698,26,166,152,"Retrosplenial area, lateral agranular part",RSPagl,structure,3,36,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-774,AllenCCF-Ontology-2017-774,AllenCCF-Ontology-2017-SUBS,764,733242,0.7332420000000002,#1AA698,26,166,152,"Retrosplenial area, lateral agranular part, layer 5",RSPagl5,substructure,4,205,AllenCCF-Ontology-2017-894
AllenCCF-Annotation-2020-906,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,896,412238,0.41223800000000005,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-906,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,896,412238,0.41223800000000005,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-906,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,896,412238,0.41223800000000005,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-906,AllenCCF-Ontology-2017-894,AllenCCF-Ontology-2017-STRU,896,412238,0.41223800000000005,#1AA698,26,166,152,"Retrosplenial area, lateral agranular part",RSPagl,structure,3,36,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-906,AllenCCF-Ontology-2017-906,AllenCCF-Ontology-2017-SUBS,896,412238,0.41223800000000005,#1AA698,26,166,152,"Retrosplenial area, lateral agranular part, layer 6a",RSPagl6a,substructure,4,206,AllenCCF-Ontology-2017-894
AllenCCF-Annotation-2020-279,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,270,34362,0.034362000000000004,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-279,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,270,34362,0.034362000000000004,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-279,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,270,34362,0.034362000000000004,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-279,AllenCCF-Ontology-2017-894,AllenCCF-Ontology-2017-STRU,270,34362,0.034362000000000004,#1AA698,26,166,152,"Retrosplenial area, lateral agranular part",RSPagl,structure,3,36,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-279,AllenCCF-Ontology-2017-279,AllenCCF-Ontology-2017-SUBS,270,34362,0.034362000000000004,#1AA698,26,166,152,"Retrosplenial area, lateral agranular part, layer 6b",RSPagl6b,substructure,4,207,AllenCCF-Ontology-2017-894
AllenCCF-Annotation-2020-442,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,432,833240,0.8332400000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-442,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,432,833240,0.8332400000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-442,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,432,833240,0.8332400000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-442,AllenCCF-Ontology-2017-879,AllenCCF-Ontology-2017-STRU,432,833240,0.8332400000000001,#1AA698,26,166,152,"Retrosplenial area, dorsal part",RSPd,structure,3,37,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-442,AllenCCF-Ontology-2017-442,AllenCCF-Ontology-2017-SUBS,432,833240,0.8332400000000001,#1AA698,26,166,152,"Retrosplenial area, dorsal part, layer 1",RSPd1,substructure,4,211,AllenCCF-Ontology-2017-879
AllenCCF-Annotation-2020-434,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,424,972450,0.9724500000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-434,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,424,972450,0.9724500000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-434,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,424,972450,0.9724500000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-434,AllenCCF-Ontology-2017-879,AllenCCF-Ontology-2017-STRU,424,972450,0.9724500000000001,#1AA698,26,166,152,"Retrosplenial area, dorsal part",RSPd,structure,3,37,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-434,AllenCCF-Ontology-2017-434,AllenCCF-Ontology-2017-SUBS,424,972450,0.9724500000000001,#1AA698,26,166,152,"Retrosplenial area, dorsal part, layer 2/3",RSPd2/3,substructure,4,212,AllenCCF-Ontology-2017-879
AllenCCF-Annotation-2020-545,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,535,2,2.0000000000000003e-06,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-545,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,535,2,2.0000000000000003e-06,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-545,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,535,2,2.0000000000000003e-06,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-545,AllenCCF-Ontology-2017-879,AllenCCF-Ontology-2017-STRU,535,2,2.0000000000000003e-06,#1AA698,26,166,152,"Retrosplenial area, dorsal part",RSPd,structure,3,37,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-545,AllenCCF-Ontology-2017-545,AllenCCF-Ontology-2017-SUBS,535,2,2.0000000000000003e-06,#1AA698,26,166,152,"Retrosplenial area, dorsal part, layer 4",RSPd4,substructure,4,213,AllenCCF-Ontology-2017-879
AllenCCF-Annotation-2020-610,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,600,1205990,1.2059900000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-610,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,600,1205990,1.2059900000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-610,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,600,1205990,1.2059900000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-610,AllenCCF-Ontology-2017-879,AllenCCF-Ontology-2017-STRU,600,1205990,1.2059900000000001,#1AA698,26,166,152,"Retrosplenial area, dorsal part",RSPd,structure,3,37,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-610,AllenCCF-Ontology-2017-610,AllenCCF-Ontology-2017-SUBS,600,1205990,1.2059900000000001,#1AA698,26,166,152,"Retrosplenial area, dorsal part, layer 5",RSPd5,substructure,4,214,AllenCCF-Ontology-2017-879
AllenCCF-Annotation-2020-274,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,265,756694,0.7566940000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-274,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,265,756694,0.7566940000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-274,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,265,756694,0.7566940000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-274,AllenCCF-Ontology-2017-879,AllenCCF-Ontology-2017-STRU,265,756694,0.7566940000000001,#1AA698,26,166,152,"Retrosplenial area, dorsal part",RSPd,structure,3,37,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-274,AllenCCF-Ontology-2017-274,AllenCCF-Ontology-2017-SUBS,265,756694,0.7566940000000001,#1AA698,26,166,152,"Retrosplenial area, dorsal part, layer 6a",RSPd6a,substructure,4,215,AllenCCF-Ontology-2017-879
AllenCCF-Annotation-2020-330,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,320,31010,0.031010000000000006,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-330,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,320,31010,0.031010000000000006,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-330,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,320,31010,0.031010000000000006,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-330,AllenCCF-Ontology-2017-879,AllenCCF-Ontology-2017-STRU,320,31010,0.031010000000000006,#1AA698,26,166,152,"Retrosplenial area, dorsal part",RSPd,structure,3,37,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-330,AllenCCF-Ontology-2017-330,AllenCCF-Ontology-2017-SUBS,320,31010,0.031010000000000006,#1AA698,26,166,152,"Retrosplenial area, dorsal part, layer 6b",RSPd6b,substructure,4,216,AllenCCF-Ontology-2017-879
AllenCCF-Annotation-2020-542,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,532,947416,0.9474160000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-542,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,532,947416,0.9474160000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-542,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,532,947416,0.9474160000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-542,AllenCCF-Ontology-2017-886,AllenCCF-Ontology-2017-STRU,532,947416,0.9474160000000001,#1AA698,26,166,152,"Retrosplenial area, ventral part",RSPv,structure,3,38,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-542,AllenCCF-Ontology-2017-542,AllenCCF-Ontology-2017-SUBS,532,947416,0.9474160000000001,#1AA698,26,166,152,"Retrosplenial area, ventral part, layer 1",RSPv1,substructure,4,217,AllenCCF-Ontology-2017-886
AllenCCF-Annotation-2020-430,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,420,1012970,1.0129700000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-430,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,420,1012970,1.0129700000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-430,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,420,1012970,1.0129700000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-430,AllenCCF-Ontology-2017-886,AllenCCF-Ontology-2017-STRU,420,1012970,1.0129700000000001,#1AA698,26,166,152,"Retrosplenial area, ventral part",RSPv,structure,3,38,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-430,AllenCCF-Ontology-2017-430,AllenCCF-Ontology-2017-SUBS,420,1012970,1.0129700000000001,#1AA698,26,166,152,"Retrosplenial area, ventral part, layer 2/3",RSPv2/3,substructure,4,219,AllenCCF-Ontology-2017-886
AllenCCF-Annotation-2020-687,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,677,1678750,1.6787500000000002,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-687,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,677,1678750,1.6787500000000002,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-687,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,677,1678750,1.6787500000000002,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-687,AllenCCF-Ontology-2017-886,AllenCCF-Ontology-2017-STRU,677,1678750,1.6787500000000002,#1AA698,26,166,152,"Retrosplenial area, ventral part",RSPv,structure,3,38,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-687,AllenCCF-Ontology-2017-687,AllenCCF-Ontology-2017-SUBS,677,1678750,1.6787500000000002,#1AA698,26,166,152,"Retrosplenial area, ventral part, layer 5",RSPv5,substructure,4,220,AllenCCF-Ontology-2017-886
AllenCCF-Annotation-2020-590,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,580,659730,0.6597300000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-590,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,580,659730,0.6597300000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-590,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,580,659730,0.6597300000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-590,AllenCCF-Ontology-2017-886,AllenCCF-Ontology-2017-STRU,580,659730,0.6597300000000001,#1AA698,26,166,152,"Retrosplenial area, ventral part",RSPv,structure,3,38,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-590,AllenCCF-Ontology-2017-590,AllenCCF-Ontology-2017-SUBS,580,659730,0.6597300000000001,#1AA698,26,166,152,"Retrosplenial area, ventral part, layer 6a",RSPv6a,substructure,4,221,AllenCCF-Ontology-2017-886
AllenCCF-Annotation-2020-622,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,612,48300,0.04830000000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-622,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,612,48300,0.04830000000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-622,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,612,48300,0.04830000000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-622,AllenCCF-Ontology-2017-886,AllenCCF-Ontology-2017-STRU,612,48300,0.04830000000000001,#1AA698,26,166,152,"Retrosplenial area, ventral part",RSPv,structure,3,38,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-622,AllenCCF-Ontology-2017-622,AllenCCF-Ontology-2017-SUBS,612,48300,0.04830000000000001,#1AA698,26,166,152,"Retrosplenial area, ventral part, layer 6b",RSPv6b,substructure,4,222,AllenCCF-Ontology-2017-886
AllenCCF-Annotation-2020-312782550,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,1209,239674,0.23967400000000005,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-312782550,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,1209,239674,0.23967400000000005,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-312782550,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,1209,239674,0.23967400000000005,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-312782550,AllenCCF-Ontology-2017-312782546,AllenCCF-Ontology-2017-STRU,1209,239674,0.23967400000000005,#009FAC,0,159,172,Anterior area,VISa,structure,3,39,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-312782550,AllenCCF-Ontology-2017-312782550,AllenCCF-Ontology-2017-SUBS,1209,239674,0.23967400000000005,#009FAC,0,159,172,"Anterior area, layer 1",VISa1,substructure,4,223,AllenCCF-Ontology-2017-312782546
AllenCCF-Annotation-2020-312782554,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,1210,426718,0.4267180000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-312782554,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,1210,426718,0.4267180000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-312782554,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,1210,426718,0.4267180000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-312782554,AllenCCF-Ontology-2017-312782546,AllenCCF-Ontology-2017-STRU,1210,426718,0.4267180000000001,#009FAC,0,159,172,Anterior area,VISa,structure,3,39,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-312782554,AllenCCF-Ontology-2017-312782554,AllenCCF-Ontology-2017-SUBS,1210,426718,0.4267180000000001,#009FAC,0,159,172,"Anterior area, layer 2/3",VISa2/3,substructure,4,224,AllenCCF-Ontology-2017-312782546
AllenCCF-Annotation-2020-312782558,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,1211,154800,0.15480000000000002,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-312782558,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,1211,154800,0.15480000000000002,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-312782558,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,1211,154800,0.15480000000000002,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-312782558,AllenCCF-Ontology-2017-312782546,AllenCCF-Ontology-2017-STRU,1211,154800,0.15480000000000002,#009FAC,0,159,172,Anterior area,VISa,structure,3,39,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-312782558,AllenCCF-Ontology-2017-312782558,AllenCCF-Ontology-2017-SUBS,1211,154800,0.15480000000000002,#009FAC,0,159,172,"Anterior area, layer 4",VISa4,substructure,4,225,AllenCCF-Ontology-2017-312782546
AllenCCF-Annotation-2020-312782562,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,1212,355238,0.35523800000000005,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-312782562,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,1212,355238,0.35523800000000005,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-312782562,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,1212,355238,0.35523800000000005,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-312782562,AllenCCF-Ontology-2017-312782546,AllenCCF-Ontology-2017-STRU,1212,355238,0.35523800000000005,#009FAC,0,159,172,Anterior area,VISa,structure,3,39,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-312782562,AllenCCF-Ontology-2017-312782562,AllenCCF-Ontology-2017-SUBS,1212,355238,0.35523800000000005,#009FAC,0,159,172,"Anterior area, layer 5",VISa5,substructure,4,226,AllenCCF-Ontology-2017-312782546
